date,quotation,speaker,qids,probas
2016-09-18,"It'll take a period of time before people know the full ramification of what the Brexit vote means; what does it mean for their business, how are they going to adapt, how will they capitalise some of those opportunities?",Patricia Scotland,['Q194713'],"[['Patricia Scotland', '0.805'], ['None', '0.195']]"
2016-07-12,"One is that interest rates are going to be lower for longer, second is that Brexit isn't going to have any meaningful impact on the U.S., third is that the U.S. economy continues to be steady even at the 2% rate, and fourth other markets are flashing signs which are positive for equities,",Roger Altman,['Q3438646'],"[['Roger Altman', '0.8133'], ['None', '0.1867']]"
2016-12-02,The message is clear: The Liberal Democrats are back and we are carrying the torch for all of those who want a real opposition to this Conservative Brexit government.,Tim Farron,['Q304251'],"[['Tim Farron', '0.3998'], ['None', '0.3296'], ['Sarah Olney', '0.2499'], ['Prime Minister Theresa May', '0.0206']]"
2016-07-01,"Those in the political center were demonized as out-of-touch elites... The campaign made the word `expert' virtually a term of abuse, and when experts warned of the economic harm that would follow Brexit, they were castigated as `scaremongers.",Tony Blair,['Q9545'],"[['Tony Blair', '0.9641'], ['None', '0.0359']]"
2016-07-18,Waddya think about Brexit?,None,[],"[['None', '0.8441'], ['Melanie Phillips', '0.0935'], ['Donald Trump', '0.0624']]"
2016-12-07,"We will also push for a plan to be published no later than January 2017 so that the House of Commons, the devolved administrations, the Brexit Select Committee and the British people have a chance to scrutinise it.",Keir Starmer,['Q6383803'],"[['Keir Starmer', '0.9365'], ['None', '0.0568'], ['Prime Minister Theresa May', '0.0067']]"
2016-09-15,Whether that's oil or whether it's Brexit -- there's always something happening. Whereas if you're global it tends to soften the blow.,None,[],"[['None', '0.6266'], ['Rami Ranger', '0.3734']]"
2016-04-30,a fall in sterling due to fears of Brexit,George Osborne,"['Q18527503', 'Q332493', 'Q47452635', 'Q5543055']","[['George Osborne', '0.7873'], ['None', '0.2127']]"
2016-09-27,"A hard Brexit will hurt our economy, hit the poorest areas hardest and turn Britain into a place it has never been: divided, hostile, narrow-minded.",Theresa May,"['Q264766', 'Q30161835']","[['Theresa May', '0.7006'], ['None', '0.2234'], ['Andy Burnham', '0.076']]"
2016-12-02,"Brexit-it's as simple as that. Most of the voters we spoke to were saying, `We are really alarmed at the direction Theresa May is taking the country in and we want to do something about it' .",Sarah Olney,['Q27942399'],"[['Sarah Olney', '0.7176'], ['Tim Farron', '0.1735'], ['None', '0.109']]"
2016-08-05,"Since Brexit, markets have been buoyed mainly by large, coordinated central bank stimulus... markets love this, this has driven markets higher despite very little earnings growth.",David Walker,"['Q1177037', 'Q1177048', 'Q16152029', 'Q172091', 'Q20618418', 'Q29867548', 'Q42645460', 'Q43912667', 'Q4764223', 'Q5230669', 'Q5240776', 'Q5240777', 'Q5240778', 'Q5240781', 'Q5240783', 'Q5240784', 'Q5240785', 'Q542467', 'Q56100596', 'Q56236112', 'Q56492482', 'Q57053757', 'Q57313243', 'Q58218308', 'Q59549423']","[['David Walker', '0.8744'], ['None', '0.117'], ['fund manager', '0.0086']]"
2016-12-08,"With upcoming elections in France, Germany, The Netherlands, and maybe now Italy and Spain, there may be little sympathy for a quick, `no-strings' UK Brexit deal once Article 50 is triggered,",Neil Williams,['Q6989487'],"[['Neil Williams', '0.9215'], ['None', '0.0785']]"
2016-05-17,Brexit would be a leap in the dark for millions of pensioners who have worked hard all their lives and deserve security in retirement.,Ros Altmann,['Q7366967'],"[['Ros Altmann', '0.7814'], ['None', '0.1466'], ['Shailesh Vara', '0.072']]"
2016-04-20,"These figures will no doubt be pored over in an attempt to discern effects of the EU referendum, but how employment would fare in the event of a Brexit vote is an open question.",None,[],"[['None', '0.8569'], ['Allison Pearson', '0.0869'], ['Dave Fisher', '0.0561']]"
2016-07-14,"After Brexit, I tweeted something that got a lot of likes. That Brexit tweet that made everybody happy was exactly what I was feeling in response to Brexit, and then everything else is like, `Well, they don't like how you felt in response to Chevy Chase leaving you voicemails. '",None,[],"[['None', '0.768'], ['Dan Harmon', '0.232']]"
2016-07-05,"Fear, Loathing and Brexit",None,[],"[['None', '0.9817'], ['Isabelle Grignon', '0.0183']]"
2016-12-01,How convenient that he omitted to mention that he didn't see Brexit benefiting fishermen in the Humber before the referendum.,None,[],"[['None', '0.4711'], ['David Jones', '0.3589'], ['Martin Vickers', '0.17']]"
2016-07-25,"Tide is the first FinTech startup we've helped launch since Brexit and one with innovation aimed at helping a vital part of the U.K. economy -- small business owners,",Robin Klein,"['Q17029903', 'Q7352595']","[['Robin Klein', '0.9069'], ['None', '0.0932']]"
2016-12-02,Add to this the financial risk and uncertainty caused by Brexit and the threat of further restrictions on universities' ability to recruit international students and universities find themselves face-to-face with a sustainability challenge that is reaching the point where they risk not being able to operate today without damaging the ability to do so tomorrow.,Liz Smith,"['Q27517406', 'Q291438', 'Q644208', 'Q6660303']","[['Liz Smith', '0.8529'], ['None', '0.1471']]"
2016-07-26,"Over the last few years we have built a new, more technologically focused, innovative, dynamic and profitable Valeo thanks to the commitment of all the Group's teams. Our results for the first half of 2016, with the order intake up 20% to 12.8 billion euros, like-for-like sales up 11%, operating margin up 20% to 8% of sales and net income up 23%, bear testimony to our dynamism and to the merits of our strategy focused on innovation in CO2 emissions reduction and intuitive driving. On the back of our strong sales growth and the significant outperformance of our original equipment sales on the world's main markets, we can confidently confirm our full-year 2016 objectives announced on publication of the 2015 annual results, despite the uncertainties that may affect the European automotive market following the recent Brexit decision by the United Kingdom.",Jacques Aschenbroich,['Q3158153'],"[['Jacques Aschenbroich', '0.9342'], ['None', '0.0658']]"
2016-09-19,"The Brexit vote could mean that future changes to the constitutional settlement in Wales will be determined by the consequences of Scottish and, to a lesser extent, Northern Irish negotiations with the UK Government.",None,[],"[['None', '0.7214'], ['Welsh politician', '0.1835'], ['Nigel Farage', '0.0951']]"
2016-07-28,"The [ GDP ] data suggest that worries over an uncertainty-led slowdown ahead of the June referendum were unfounded -- and will undermine any claims that an H2 downturn was already in the pipeline regardless of the Brexit vote. However, the backward looking data have little to tell us about the policy and growth outlook from here. Early indications suggest a sharp slowdown in Q3.",None,[],"[['None', '0.9084'], ['50 Cent', '0.0916']]"
2016-07-13,"Civil servants have already been charged with finding a building to house the Brexit department -- an indication of May's commitment to get on with delivering the verdict of the EU referendum. Brexit means Brexit, and we're going to make a success of it,",None,[],"[['None', '0.5894'], ['Philip May', '0.1448'], ['Theresa May', '0.1279'], ['David Cameron', '0.1056'], ['Andrea Leadsom', '0.0142'], ['Prime Minister Theresa May', '0.0085'], ['Priti Patel', '0.0044'], ['Angela Merkel', '0.0027'], ['Margaret Thatcher', '0.0026']]"
2016-08-31,"Existing sales above $1 million were down a bit in July. This was in large part due to the stock market volatility seen earlier this summer leading up to and immediately after Brexit,",Lawrence Yun,['Q6504777'],"[['Lawrence Yun', '0.7788'], ['None', '0.215'], ['Jonathan Miller', '0.0062']]"
2016-12-07,"I want to ensure that we get a red, white and blue Brexit. That means a Brexit that is right for the United Kingdom, a Brexit that is the right deal for the U.K..",Prime Minister Theresa May,['Q264766'],"[['Prime Minister Theresa May', '0.8705'], ['None', '0.0795'], ['Michel Barnier', '0.0405'], ['Kezia Dugdale', '0.0095']]"
2016-07-08,In the last few years we've felt well looked after but if Brexit doesn't work out people will look with seriousness at our options.,None,[],"[['None', '0.5127'], ['Frances Black', '0.4873']]"
2016-08-25,"So both candidates, Donald Trump and Hillary Clinton Hillary Rodham Clinton GOP chairman calls on Trump to release tax returns Trump: Clinton is a `bigot who sees people of color only as votes' Brexit leader stumps for Trump: I wouldn't vote Clinton if she paid me MORE, should show both their medical records and tax returns, absolutely.",None,[],"[['None', '0.7665'], ['Donald Trump', '0.164'], ['Hillary Clinton', '0.0695']]"
2016-05-03,an even bigger boost to Brexit than President Obama's,None,[],"[['None', '0.395'], ['Bill Clinton', '0.3075'], ['Jacob Rees-Mogg', '0.1787'], ['Tony Blair', '0.063'], ['President Obama', '0.0558']]"
2016-09-10,"Having hyped up the dangers of Brexit, a lot of the banks today look pretty stupid -- almost as stupid as they were before the financial crisis, when they were convinced that the bubble would last. If only their bonuses were related to the accuracy of their forecasts.",Douglas Carswell,['Q269322'],"[['Douglas Carswell', '0.8978'], ['None', '0.1022']]"
2016-05-27,"So rather than consider how the Commonwealth might benefit from Brexit, we should remind ourselves why the Commonwealth benefits from our close relationship with the EU,",Hugo Swire,['Q327716'],"[['Hugo Swire', '0.8823'], ['None', '0.1177']]"
2016-11-25,"Support for policies like Brexit, and the breakup of the EU and Eurozone",None,[],"[['None', '0.7943'], ['George W. Bush', '0.1131'], ['Clint Watts', '0.0926']]"
2016-09-30,"The jump in services output in July is the clearest sign yet that the Brexit vote has not pushed the economy into a recession,",None,[],"[['None', '0.665'], ['Mark Carney', '0.335']]"
2016-07-18,"This is at a time when Ireland is facing into rapid demographic growth and overheating pressures in transport, education, water, broadband, health, and other public infrastructure which are affecting Ireland's competitiveness. In previous crises the first budget item to go was capital [ investment ]. This simply cannot be repeated if the scope for future discretionary spending diminishes in the face of Brexit. Given the low carry costs of debt, strong nominal growth rates, a primary surplus, and considerable infrastructure gaps, investment can be achieved while reducing the deficit in the prudent manner.",Gerard Brady,['Q1510129'],"[['Gerard Brady', '0.9025'], ['None', '0.0975']]"
2016-09-22,"In a post-Brexit world, India appears a steady ship with an economy growing at 7 per cent-plus. The majority of India's 100 richest have notched up handsome gains as their companies have outperformed the stock market in the past year.",None,[],"[['None', '0.9239'], ['Pallonji Mistry', '0.0761']]"
2016-09-10,"Just days ago David Davis was slapped down for his comments on the single market, while Theresa May herself has repeatedly been unable to answer even the most basic question on what Brexit means. We need a steady hand and a plan to do what's best for the country right now but the Tories are giving us neither.",None,[],"[['None', '0.6613'], ['Theresa May', '0.2564'], ['Liam Fox', '0.0823']]"
2016-07-01,"Brexit passed because out-of-touch elites were using their `expertise' to counter the people's feelings of frustration and economic pain,",Mabel Berezin,['Q6721411'],"[['Mabel Berezin', '0.7492'], ['None', '0.202'], ['Boris Johnson', '0.0277'], ['Theresa May', '0.0211']]"
2016-05-27,"Everybody wanted to avoid having a Grexit discussion at the same time as the Brexit discussion, so that's achieved,",Christine Lagarde,['Q484605'],"[['Christine Lagarde', '0.8606'], ['None', '0.1394']]"
2016-08-18,"I suppose that everyone was taken aback a bit with the Brexit decision, but since then, the trade has settled down and it's always a good sign to see store cattle selling well,",Michael Flynn,"['Q15712142', 'Q25599009', 'Q27922514', 'Q57046897', 'Q6830352', 'Q6834757']","[['Michael Flynn', '0.7233'], ['None', '0.1841'], ['Pat Murphy', '0.0926']]"
2016-07-04,"There is certainly no need for Ireland to panic in response to this announcement. It was made in the context of growing worries about the UK economy and comes at a time of deep political turmoil following the Brexit vote,",Michael McGrath,"['Q6832710', 'Q6832711', 'Q6832712']","[['Michael McGrath', '0.902'], ['None', '0.098']]"
2016-07-03,"We know the EU is not perfect, and maybe in the future we'll decide to leave, but we believe that a better plan must be set out before we are convinced that Brexit is the right decision. So whether you're leave or remain, please come together to show that you support the youth of this generation.",None,[],"[['None', '0.808'], ['Liam Fox', '0.192']]"
2016-05-07,demand created by the Euro 2016 Championships (and not Brexit) will be the key determinant of Q2 performance,None,[],"[['None', '0.8464'], ['Adam Crozier', '0.1295'], ['Anna Friel', '0.0241']]"
2016-12-13,"Following Brexit, the European project itself is at risk of dislocation. It's urgent, yes, urgent to convince citizens to turn away from false promises,",Bernard Cazeneuve,['Q560890'],"[['Bernard Cazeneuve', '0.6803'], ['None', '0.293'], ['Marine Le Pen', '0.0219'], ['Manuel Valls', '0.0049']]"
2016-07-07,"I do not see any mid or long term impact of Brexit as far as India is concerned. Meanwhile, there may be some tumult in the short term due to a depressed business sentiment. This is because it may be a period of uncertainty and businesses abhor uncertainty, thereby impacting sentiment and advertising is directly influenced and often suffers when sentiment weakens. However, I don't expect this phase to last long. In fact, in the longer run, with the UK being free to strike its own trade deals with Asian markets, newer opportunities could open up for us in India. Probably a more immediate concern for India, far greater than Brexit, is the monsoon. After 2 years of poor rains, we need a good monsoon to trigger rural consumption. Since India is more of a domestic consumption story, a good monsoon will more than offset any volatility in sentiment caused by Brexit.",Ashish Bhasin,['Q27975625'],"[['Ashish Bhasin', '0.8893'], ['None', '0.1107']]"
2016-12-08,"I'm often asked what effect the big political changes of 2016, Brexit and the US election, will have on these relationships,",Alex Younger,['Q18208520'],"[['Alex Younger', '0.792'], ['None', '0.208']]"
2016-07-05,"It might just be anecdotal but we don't normally at this time of year see a spike in redundancy calls... but the only real change in business models pre-Brexit was the NLW so you can more or less time it exactly to the beginning of April, when it was implemented,",Alan Price,['Q510991'],"[['Alan Price', '0.6695'], ['None', '0.2016'], ['Norman Pickavance', '0.1289']]"
2016-08-01,"The Brexit vote and euroscepticism was strongest in former manufacturing areas, where the industry has gone, the good jobs have gone and people feel disaffected,",David Bailey,"['Q14945708', 'Q3703094', 'Q43127011', 'Q5230657', 'Q5231041', 'Q5231042', 'Q5231043', 'Q5231044', 'Q5231045', 'Q5231046', 'Q5231047', 'Q902568']","[['David Bailey', '0.7056'], ['None', '0.2514'], ['Prime Minister Theresa May', '0.0261'], ['Theresa May', '0.0165'], ['Sarah Young', '3.0E-4']]"
2016-09-29,The Brexit vote has been unfairly blamed on the poor.,Danny Dorling,['Q5220292'],"[['Danny Dorling', '0.9506'], ['None', '0.0494']]"
2016-05-27,The incentives for getting to Britain are still there. Until we take control of our borders we will continually face this. Voting for Brexit sends the message the UK is not part of the freedom of movement narrative.,Mike Hookem,['Q16979955'],"[['Mike Hookem', '0.9505'], ['None', '0.0495']]"
2016-09-13,"There has to be some legislation (to enact Brexit), no doubt about that,",David Davis,"['Q1174175', 'Q1174177', 'Q13471238', 'Q16206936', 'Q28037658', 'Q300023', 'Q41256031', 'Q4710588', 'Q56596944', 'Q843907']","[['David Davis', '0.8464'], ['Prime Minister Theresa May', '0.0848'], ['None', '0.0688']]"
2016-07-05,Waltz On Brexit & `Head Rat' Farage,Christoph Waltz,['Q76819'],"[['Christoph Waltz', '0.6496'], ['None', '0.2966'], ['Nigel Farage', '0.0538']]"
2016-12-06,"When future generations look back on this year they will refer to it as The Year No-One Saw Anything Coming. Not Brexit, not Trump and now - in our own little antipodean way-not John Key's resignation",Richard Shaw,"['Q28741412', 'Q3934876', 'Q7328990']","[['Richard Shaw', '0.9625'], ['None', '0.0315'], ['John Key', '0.0054'], ['Bill English', '6.0E-4']]"
2016-07-31,"My sign says `Demexit,' and it's basically borrowed from the Brexit, which we recently saw in Britain. This is an idea that's been stirring for a while among Bernie supporters, which basically has to do with that if Bernie would not get a fair shake at the convention, then we vowed to come here as Democrats, but to basically leave the party and no longer, you know, affiliate ourselves with the party afterwards.",None,[],"[['None', '0.6839'], ['Bernie Sanders', '0.2525'], ['Hillary Clinton', '0.0636']]"
2016-08-30,"We also increased our stock buyback in Q2 to $170 million in light of the dip in the stock caused by the temporary panic around the Brexit vote,",Carl Bass,['Q5039873'],"[['Carl Bass', '0.8836'], ['None', '0.1086'], ['Emanuel Chirico', '0.0062'], ['Tommy Hilfiger', '9.0E-4'], ['Calvin Klein', '7.0E-4']]"
2016-09-14,"With the Brexit negotiations on the horizon, this could be the start of strong national legislation to ensure we have clear country of origin labelling in the future. It is clear that some retailers and manufacturers feel origin is important by going above what is required in law and through voluntary principles. However, the inconsistency of voluntary commitment can sometimes be the source of confusion among shoppers.",Graham MacGregor,['Q21066517'],"[['Graham MacGregor', '0.4202'], ['None', '0.4177'], ['Andrea Leadsom', '0.1622']]"
2016-08-25,All of a sudden the Tory party are going to start believing in Brexit so much you wouldn't believe.,Bill Etheridge,['Q16979907'],"[['Bill Etheridge', '0.871'], ['None', '0.1102'], ['Lisa Duffy', '0.008'], ['Diane James', '0.0043'], ['Theresa May', '0.0037'], ['Nigel Farage', '0.0028']]"
2016-06-29,"Europe is now weakening as Russia, its allies and its multilateral organizations are consolidating, even adding new members. Putin, of course, did not cause the Brexit vote, but he and his foreign policy objectives stand to gain enormously from it.",Michael McFaul,['Q769921'],"[['Michael McFaul', '0.8299'], ['None', '0.1685'], ['Vladimir Putin', '0.0016']]"
2016-08-22,Everything buoyant after Brexit... Corporates results haven't been horrible and the oil story has helped us as well. Overall positive sentiment intact except a minor wobbly next week and today.,None,[],"[['None', '0.7584'], ['Paddy Power', '0.2416']]"
2016-08-04,"I also want those firms, across all the sectors of our economy, to be able to take advantage of the opportunities presented by Brexit, such as exporting to new destinations. So, I'll be asking them for their views on we get our whole economy firing ahead of Brexit.",None,[],"[['None', '0.8856'], ['Prime Minister Theresa May', '0.1144']]"
2016-09-07,"You can debate whether the steady rise of the euro over the last 8 or 9 months has quite a bit to do with that and will hurt German exports, you can talk about economic disruption, the uncertainty caused by Brexit, but the strongest sword for the ECB in terms of looking at the euro zone economy seems to be broken.",None,[],"[['None', '0.7108'], ['Angela Merkel', '0.2892']]"
2016-07-01,Allow me to say that Brexit can be a great opportunity for Europe.,Matteo Renzi,"['Q47563', 'Q49661315']","[['Matteo Renzi', '0.8436'], ['None', '0.1023'], ['Marcelo Rebelo de Sousa', '0.0433'], ['Stelios Kouloglou', '0.0108']]"
2016-07-25,"It's their fault because they've allowed people over years to come into their territory. That's why Brexit happened, OK? Because the UK is saying, `We're tired of this stuff. '",Donald Trump,"['Q22686', 'Q27947481']","[['Donald Trump', '0.6601'], ['Chuck Todd', '0.2206'], ['None', '0.1193']]"
2016-04-22,"Migrants, the Euro, Brexit: The European Union is mortal.",None,[],"[['None', '0.7359'], ['David Cameron', '0.1764'], ['GWYNNE DYER', '0.0876']]"
2016-08-18,"the world is changing, we saw Brexit",None,[],"[['None', '0.7222'], ['Donald Trump', '0.2348'], ['Nigel Farage', '0.0302'], ['Rupert Murdoch', '0.0128']]"
2016-12-12,"There's obviously a clear resistance to Brexit, there's no question about that, but we expected that,",None,[],"[['None', '0.7441'], ['Thomas Cole', '0.2559']]"
2016-07-14,"At this stage we see [ Brexit ] as a political and economic challenge that will take time to resolve, but is not a financial crisis and the impact on global growth and the U.S. economy is small,",Marianne Lake,['Q24572563'],"[['Marianne Lake', '0.9251'], ['None', '0.0593'], ['James Dimon', '0.0156']]"
2016-09-24,The GBP rose against most G10 currencies yesterday amid BoE's MPC member Kristin Forbes said BOE may have miscalculated Brexit impact and may need to revise up its economic outlook.,Tuuli Koivu,['Q25453580'],"[['Tuuli Koivu', '0.564'], ['None', '0.436']]"
2016-12-30,"The worst predictions surrounding Brexit and its potential impact on our economy have so far failed to materialise,",None,[],"[['None', '0.9114'], ['Rupert Murdoch', '0.0886']]"
2016-04-20,"Against this, the areas with most support for Brexit are concentrated along much of England's east coast plus some of the older industrial areas-notably in Yorkshire and the West Midlands-with pockets along the south coast too (mainly local authorities with large retired populations).",None,[],"[['None', '0.5779'], ['David Manley', '0.4221']]"
2016-05-18,I have come down on the Brexit side but I do not have any axes to grind with those voting to remain. I can see the economic benefits of staying in the EU.,James Lewis,"['Q15485494', 'Q16731446', 'Q19042631', 'Q21258767', 'Q55469216', 'Q56597625', 'Q5925724', 'Q6138033', 'Q6138035']","[['James Lewis', '0.8709'], ['None', '0.1208'], ['Amanda Solloway', '0.0083']]"
2016-07-15,the world again is looking to him as we face uncertainty in the wake of Brexit.,Mark Carney,['Q192533'],"[['Mark Carney', '0.7795'], ['None', '0.1758'], ['Prime Minister Theresa May', '0.0225'], ['Catherine McKenna', '0.0222']]"
2016-02-18,"We have had a positive move across markets which has been aided by the Juncker statement on the Brexit (Britain exiting EU) talks that removed some of the dark clouds,",John Hardy,"['Q18719463', 'Q23688353', 'Q2735767', 'Q53953022', 'Q6237753', 'Q6237755']","[['John Hardy', '0.8227'], ['None', '0.1773']]"
2016-07-05,"We thought we were at all-time lows, and then the Brexit vote happened,",Bruce Kimmel,['Q4977791'],"[['Bruce Kimmel', '0.9305'], ['None', '0.0695']]"
2016-07-04,"However, the extent and speed of the downturn in the face of political and economic uncertainty is a clear warning flag for the wider post-Brexit economic outlook.",Tim Moore,"['Q16123784', 'Q16732824', 'Q7804002', 'Q7804003', 'Q7804005', 'Q7804006', 'Q7804007']","[['Tim Moore', '0.7578'], ['None', '0.1476'], ['David Noble', '0.0905'], ['Steve Turner', '0.0042']]"
2016-08-14,"The prime minister has been clear that a top priority for this government is to deliver the decision of the British people to leave the EU and to make a success of Brexit. The PM has set out the government's position on Article 50 and has established a new department dedicated to taking forward the negotiations,",None,[],"[['None', '0.6217'], ['Liam Fox', '0.3489'], ['Boris Johnson', '0.0294']]"
2016-07-06,"These funds are therefore likely to be closed for weeks and months rather than simply a matter of days. Clearly there has been a knee-jerk reaction to Brexit in the commercial property sector, which may moderate over time.",None,[],"[['None', '0.7825'], ['Fund manager', '0.2175']]"
2016-09-20,"To counter a dip in morale and employee engagement while uncertainty around Brexit persists, employers should take a considered approach to communications. [ Organisations ] should be transparent around what Brexit means to them and communicate this and any expected impact on employees in a timely manner, to all employees.",Mark Quinn,"['Q27530213', 'Q6769359']","[['Mark Quinn', '0.8015'], ['None', '0.1134'], ['Kate Fitzpatrick', '0.0851']]"
2016-07-27,"We will still be part of Europe, and we want to turn the Brexit into a success,",Prime Minister Theresa May,['Q264766'],"[['Prime Minister Theresa May', '0.94'], ['None', '0.0601']]"
2016-07-29,"Add to that the fact we're had the promise of fiscal austerity easing and investors are expecting an interest-rate cut next week before we've seen data that shows what effect Brexit has had,",Nick Nelson,['Q50106726'],"[['Nick Nelson', '0.8837'], ['None', '0.1163']]"
