date,quotation,speaker,qids,probas
2020-01-31,"To our British friends, you made me at home when I was away from home for years. We're now on different paths, but we're all in this together. We'll create a new future, based on a shared history and ties that are too deep to let (Brexit) sunder.",Paschal Donohoe,['Q1271675'],"[['Paschal Donohoe', '0.9316'], ['None', '0.0684']]"
2020-01-27,"We have to remember too that there are a lot of very rich fishers who stand to make a lot of money out of Brexit. We see small boat fishers in the spotlight - those struggling to get reasonable quota and to make ends meet in places like Ramsgate, Kent. But I've seen mackerel fishers with £ 30m boats, and with electronics on board more advanced than the International Space Station. Nothing is simple at all.",Chris Davies,"['Q16944262', 'Q18637275', 'Q24450171', 'Q27763815', 'Q42313977', 'Q5106362', 'Q5112206', 'Q995812']","[['Chris Davies', '0.7571'], ['None', '0.2429']]"
2020-01-30,EU parliament celebrates finally getting shot of Brexit Party turnips,None,[],"[['None', '0.6818'], ['Philip James', '0.3183']]"
2020-02-01,"I am pleased that the UK and EU have agreed on a Brexit deal that honours the will of the British people. We will continue building upon our strong, productive, and prosperous relationship with the UK as they enter this next chapter.",Mike Pompeo,['Q473239'],"[['Mike Pompeo', '0.8877'], ['None', '0.0697'], ['Charles Michel', '0.0305'], ['Woody Johnson', '0.0105'], ['President Donald Trump', '0.0016']]"
2020-01-15,"In the UK, it is too late. The damage is done. But it would be an absolute tragedy if the EU didn't learn lessons from the calamity that is Brexit.",None,[],"[['None', '0.8725'], ['Boris Johnson', '0.0741'], ['Guy Verhofstadt', '0.0534']]"
2020-01-23,"It's mostly changing in ways that are not good for the world, ranging from Brexit to global warming.",Patrick Stewart,"['Q16296', 'Q43394636', 'Q43911027']","[['Patrick Stewart', '0.8122'], ['None', '0.1878']]"
2020-01-31,"We're proud that Islington is a diverse community and that people of all backgrounds, no matter where they are from, contribute and choose to call our borough their home. Brexit impacts everyone in our community and this event is about standing up together and showing how much we value the contributions made by everyone, especially our EU citizens.",Richard Watts,['Q18161432'],"[['Richard Watts', '0.9507'], ['None', '0.0493']]"
2020-01-15,"C ome on, Boris. Announce that Big Ben will chime. And then appear on stage in Parliament Square as Prime Minister to mark this extraordinary date. Let the bells ring out for Brexit!",Nigel Farage,['Q318471'],"[['Nigel Farage', '0.857'], ['None', '0.143']]"
2020-01-28,"The signing of the memorandum of understanding between our two universities will bring us a decisive step forward and will build a solid basis for strengthening our cooperation. The withdrawal of the United Kingdom from the European Union will doubtlessly cause certain constraints, especially with regard to funding opportunities, but we strongly believe that will joint efforts we can overcome the challenges of the coming Brexit.",Bernd Engler,['Q823415'],"[['Bernd Engler', '0.9376'], ['None', '0.0539'], ['Jessica Corner', '0.0085']]"
2020-02-23,But I knocked on hundreds of doors during the election. People liked the policies when you got them talking but we lost them on Brexit -- especially in this part of the world.,Andy Moore,"['Q4761061', 'Q4761062']","[['Andy Moore', '0.7988'], ['None', '0.1107'], ['Rebecca Long-Bailey', '0.0905']]"
2020-01-01,"I would like to see who comes forward. I've got my three tests which are Brexit-I'm a strong remainer - the climate crisis, and rebuilding our public services. I know I'll probably have to compromise a bit.",Judith Blake,['Q32066575'],"[['Judith Blake', '0.8378'], ['None', '0.1622']]"
2020-03-13,"In fact we have never been in a stronger position to deal with this, due to our preparations for a hard Brexit.",None,[],"[['None', '0.7803'], ['Heather Humphreys', '0.2197']]"
2020-01-15,"it would not have been possible to reach this [ Brexit ] agreement without the very hard work, patience and the unity of everybody here in Ireland.",Ursula von der Leyen,['Q60772'],"[['Ursula von der Leyen', '0.9051'], ['None', '0.0803'], ['Leo Varadkar', '0.0146']]"
2020-01-13,"Most of the issues that we are dealing with today are induced by bad political choices. I mean, making a bad decision about a new tax, creating a tremendously difficult situation with Brexit, the immigration crisis in Germany, the mercantilism and state-owned enterprise initiatives in China, the tariffs that the United States put in unilaterally. So you just go down the list, and they're all things that have created macroeconomic slowdown.",Fred Smith,"['Q1618038', 'Q18392111', 'Q22097875', 'Q25996649', 'Q324086', 'Q5496288', 'Q5496293', 'Q5496294', 'Q5496299', 'Q5496300']","[['Fred Smith', '0.7249'], ['None', '0.2751']]"
2020-01-23,And that is alignment a lot of Brexiteers don't want. That brings us around to a unicorn.,Thangam Debbonaire,['Q19882875'],"[['Thangam Debbonaire', '0.8378'], ['None', '0.1497'], ['Meghan Markle', '0.008'], ['Boris Johnson', '0.0045']]"
2020-03-04,"mounting uncertainties caused by the upheaval of Britain's Brexit vote and the election in the US of Donald Trump, who has made no secret of his hostility towards the EU",None,[],"[['None', '0.7249'], ['Marine Le Pen', '0.2751']]"
2020-01-31,"Whether we like it or not, Brexit is going to dominate Irish politics for at least the next 12 to 18 months,",Simon Coveney,['Q1670096'],"[['Simon Coveney', '0.9594'], ['None', '0.0406']]"
2020-01-11,[ Mrs Thatcher ] was never a Brexiter. It never crossed her mind to leave the European Union.,Ken Clarke,"['Q271889', 'Q6387456', 'Q6387457']","[['Ken Clarke', '0.8309'], ['None', '0.1057'], ['Margaret Thatcher', '0.0634']]"
2020-02-10,"Self-government is what defines us as British. It's why the American colonies rebelled. To put it in American terms, Brexit is like the South seceding without a fight. The European Union, like the American Union, was supposed to be irreversible. You've now got its second most important economy and military power walking away.",David Starkey,"['Q1176720', 'Q38320216', 'Q52051148', 'Q5240035']","[['David Starkey', '0.6423'], ['None', '0.293'], ['Lee Cohen', '0.0647']]"
2020-01-31,"Brexit is actually the single biggest event in British history since the end of World War II,",Nile Gardiner,['Q13522476'],"[['Nile Gardiner', '0.8236'], ['None', '0.1572'], ['Boris Johnson', '0.0115'], ['Margaret Thatcher', '0.0077']]"
2020-02-12,"the bigger question right now given the Rovers controversy and looming implications of Brexit, though, is how to improve standards and then bridge the gap between the under-19 league and the senior game...",Emmet Malone,['Q5373489'],"[['Emmet Malone', '0.9323'], ['None', '0.0539'], ['Andy Farrell', '0.0086'], ['Kiko Casilla', '0.002'], ['Scott Hogan', '0.0018'], ['Darragh Lenihan', '0.0014']]"
2020-01-26,"Hard UK macro data such as retail sales and GDP have made it clear that the economy had a dismal fourth quarter, in large part due to political uncertainty from the general election and the risk of a no-deal Brexit,",None,[],"[['None', '0.8847'], ['Mark Carney', '0.1153']]"
2020-01-21,You say this rule exists so that `no one gets an advantage' . A prominent Brexiteer like yourself should understand the advantages of avoiding regulatory alignment with a sclerotic organisation.,Guido Fawkes,['Q16191299'],"[['Guido Fawkes', '0.6382'], ['None', '0.3142'], ['Christopher Hope', '0.0476']]"
2020-02-25,No. 10 has strong support among Brexiteers in its efforts to cleanse Whitehall's Augean stables.,None,[],"[['None', '0.7432'], ['Tom Scholar', '0.1228'], ['Donald Trump', '0.0823'], ['Tony Blair', '0.0517']]"
2020-01-09,"Trading conditions in the fourth quarter proved challenging with client and candidate confidence impacted by political turbulence around Brexit, the UK general election, Hong Kong protests and the US/China trade standoff.",Robert Walters,"['Q18390768', 'Q7350846']","[['Robert Walters', '0.7196'], ['None', '0.2804']]"
2020-02-05,I don't know what prestige will be gained as the UK GNSS or Brexit System is widely seen as a waste of resources.,Bleddyn Bowen,['Q4925838'],"[['Bleddyn Bowen', '0.9112'], ['None', '0.0888']]"
2020-01-21,the risk is that `getting Brexit done' is leaving Britain undone,Gordon Brown,"['Q10648', 'Q1537981', 'Q18763895', 'Q20979218', 'Q3110844', 'Q5584912', 'Q5584914', 'Q5584916', 'Q5584919', 'Q5584920', 'Q5584921', 'Q57428588', 'Q59312133']","[['Gordon Brown', '0.921'], ['None', '0.0726'], ['Paul Davies', '0.0064']]"
2020-02-04,"Do you not see that's provocative, even condescending, to people who voted for Brexit?",Leo Varadkar,['Q1728820'],"[['Leo Varadkar', '0.5194'], ['None', '0.2673'], ['Stephen Murphy', '0.2133']]"
2020-01-22,The final stages of this bill represent something which many of us thought might never happen-parliament passing the legislation necessary to implement a Brexit deal and to finally deliver on the 2016 referendum.,None,[],"[['None', '0.8889'], ['Charles Michel', '0.0459'], ['Boris Johnson', '0.0408'], ['Ursula von der Leyen', '0.0244']]"
2020-01-17,"What is Brexit?,",Jussie Smollett,['Q6315685'],"[['Jussie Smollett', '0.8387'], ['None', '0.1613']]"
2020-01-31,I accept that we lost and we cannot stop Brexit.,None,[],"[['None', '0.8138'], ['Jacob Rees-Mogg', '0.128'], ['Peter Bone', '0.0582']]"
2020-01-30,"After Brexit, the guarantee of free mobile phone roaming throughout the EU, Iceland, Liechtenstein and Norway will end,",None,[],"[['None', '0.6712'], ['James Lynn', '0.3078'], ['Boris Johnson', '0.021']]"
2020-02-01,has been desperate since the beginning of the campaign to put Brexit centre stage... and it hasn't worked.,Micheál Martin,['Q920403'],"[['Micheál Martin', '0.8551'], ['None', '0.1356'], ['Simon Coveney', '0.0093']]"
2020-02-05,"Michelle Ballantyne might be trying to impress Boris Johnson with her denial of democracy, but people in Scotland aren't buying it. Only the SNP is standing up for people in Scotland against the hard-right anti-democratic Tory Brexiteers at Westminster.",Keith Brown,"['Q16180519', 'Q1738042', 'Q19609795', 'Q24059778', 'Q28445556', 'Q3194726', 'Q43433849', 'Q6384118', 'Q6384119', 'Q6384120', 'Q6384121', 'Q6384122', 'Q6384123']","[['Keith Brown', '0.5291'], ['None', '0.4082'], ['Jackson Carlaw', '0.0227'], ['Michelle Ballantyne', '0.0207'], ['Ruth Davidson', '0.0193']]"
2020-01-10,"Now I won't be opposing this Bill today because I think the desire to get beyond this stage is palpable, I think that businesses and communities wish for the Government to map out the future that we foresee for our country after Brexit.",Toby Perkins,['Q575462'],"[['Toby Perkins', '0.9138'], ['None', '0.0863']]"
2020-01-30,That is Brexit for you.,None,[],"[['None', '0.5728'], ['Yasmin Alibhai-Brown', '0.2829'], ['Ed Davey', '0.1064'], ['Piers Morgan', '0.0298'], ['Jeremy Vine', '0.0081']]"
2020-02-04,"We are glad to see a more ambitious target from the UK government. However, we believe that this could still be sooner -- and that to be a global leader, especially post-Brexit, a 2030 phase-out commitment is required; without this, we risk being out of step with our international peers.",None,[],"[['None', '0.7893'], ['Andrea Leadsom', '0.2107']]"
2020-01-01,Sturgeon. Cameron. Corbyn. They are all to blame for Brexit,None,[],"[['None', '0.7893'], ['Nicola Sturgeon', '0.157'], ['Prime Minister Theresa May', '0.0537']]"
2020-02-06,"There was wide support for the government's handling of Brexit. But when it comes to evaluating parties in an election, there are other issues crowding the table.",None,[],"[['None', '0.8804'], ['Leo Varadkar', '0.1196']]"
2020-03-03,"We have a society where people are heavily committed to one side of the Brexit argument but relatively few of us have a strong commitment to a political party,",Sir John,"['Q28124344', 'Q45996744']","[['Sir John', '0.9106'], ['None', '0.0894']]"
2020-03-24,not the doldrums of Brexit,None,[],"[['None', '0.579'], ['Tom Walker', '0.421']]"
2020-01-27,"Thanks to Brexit and the resultant turmoil, normal politics in Ireland has been in a state of indefinite suspended animation.",David Quinn,"['Q23417062', 'Q38327794', 'Q5238783', 'Q5238784', 'Q5238785', 'Q5238786', 'Q5238787', 'Q902695']","[['David Quinn', '0.9198'], ['None', '0.0736'], ['Leo Varadkar', '0.0066']]"
2020-02-01,The vast majority of people who voted Remain now say we're a democratic country and its right we accept Brexit.,Nigel Farage,['Q318471'],"[['Nigel Farage', '0.6833'], ['None', '0.3167']]"
2020-01-10,The Tories have got the majority they say they needed to get Brexit done and move onto fixing our NHS. Local people will remember that.,Chloe Smith,"['Q19946123', 'Q333680']","[['Chloe Smith', '0.9046'], ['None', '0.0954']]"
2020-01-31,"we must hope that over time, more countries choose - and are allowed - to leave, that there will one day be a Frexit and a Danexit, that the euro will be dissolved in an orderly fashion and that the entire project will wither away, replaced instead by looser, liberal co-operation. Euroscepticism was never a selfish ideology. It was never just about returning self-government to Britain. No genuine Eurosceptic ever claimed that it was fine for the Netherlands or Spain to have to swap democracy for technocracy, but unacceptable for the UK. If it was bad for us, it was also bad for them. Early Eurosceptic groups maintained close ties with fellow travellers from Europe: Vaclav Klaus, the Thatcherite former Czech president, was the guest at a Brexit Party rally last year. Euroscepticism is the application to the EU of a universalist theory based on a broad set of principles: national self-government is better, over time, for peace, prosperity and liberty than belonging to technocratic superstructures; genuine democracy can only exist within a demos, such as as a nation; competition and co-operation between smaller, nimble, independent, liberal democracies is a better, more resilient way of organising the world than handling over power to gigantic, unresponsive political monopolies run by bureaucrat-kings.",Allister Heath,['Q19282266'],"[['Allister Heath', '0.8972'], ['None', '0.1028']]"
2020-02-18,Brilliant weekend celebrating Brexit... Where are all the remoaning cyclists who were laughing at me months ago. He who laughs last laughs longest.,None,[],"[['None', '0.8679'], ['Boris Johnson', '0.1321']]"
2020-01-23,"There may be some political speeches and I hope that every pro-Brexit MLA, MP and councillor in Northern Ireland will come along to join us.",Jim Wells,"['Q42171328', 'Q6198866', 'Q6198868']","[['Jim Wells', '0.6891'], ['None', '0.242'], ['Raymond Stewart', '0.0689']]"
2020-02-19,"Brexit was about restoring rights nationally, not denying your fellow neighbour interesting offers from abroad. Opposing associate citizenship would amount to actively denying others an opportunity just for the sake of it -- a rather petty, dictatorial attitude that feels at odds with the `global Britain' mantra. Living in Britain after Brexit with the option to live and work in the EU would be a win-win scenario. Khan is taking a shot in the dark. And his bid is likely to pan out as little more than a PR stunt. But if he helps convince the EU to open their hearts and borders to Brits going one way, we should hail his efforts as an unbelievable success.",None,[],"[['None', '0.5439'], ['Stephen Pollard', '0.297'], ['Sadiq Khan', '0.1591']]"
2020-02-06,"It's not just about the constitution, it's a fundamental question of democracy - the votes against Brexit by the Scottish Parliament, Welsh Assembly and Northern Ireland Assembly show that this is being forced on us by Westminster against our will.",Derek Mackay,['Q1200058'],"[['Derek Mackay', '0.531'], ['None', '0.4086'], ['Nicola Sturgeon', '0.0437'], ['Boris Johnson', '0.0167']]"
2020-01-30,"Tomorrow is not the end of Brexit, it is only the beginning.",Patrick Grady,['Q19883135'],"[['Patrick Grady', '0.8973'], ['None', '0.0946'], ['Jacob Rees-Mogg', '0.0081']]"
2020-03-19,"My Question Time was destroyed by Brexit for several years. That upset me because I'm a big fan of that show,",Ashley Walters,"['Q17111671', 'Q726074']","[['Ashley Walters', '0.8701'], ['None', '0.1133'], ['Will Smith', '0.0166']]"
2020-01-31,We didn't fight in the war for a terrible idea like Brexit,David Schneider,"['Q4412226', 'Q465987', 'Q5239547', 'Q5239548', 'Q53722688']","[['David Schneider', '0.4177'], ['John Cooper Clarke', '0.3612'], ['None', '0.2104'], ['Tracey Thorn', '0.0108']]"
2020-01-02,"So, if I think it has served the country well, given the crisis that we have faced in Brexit, I think it was the right thing to do. But it has been very challenging, and it has not been enjoyable,",None,[],"[['None', '0.7563'], ['Paschal Donohoe', '0.1405'], ['Michael Noonan', '0.1032']]"
2020-02-02,"If we finish up with alignment, then it means the 88 per cent of our economy that does not sell goods into the EU is still bound by EU rules and that would not be Brexit,",Nigel Farage,['Q318471'],"[['Nigel Farage', '0.8866'], ['None', '0.1105'], ['Boris Johnson', '0.0029']]"
2020-03-04,"The opponents of human rights are feeling emboldened by Brexit,",Keir Starmer,['Q6383803'],"[['Keir Starmer', '0.6173'], ['Conor Gearty', '0.2966'], ['None', '0.0861']]"
2020-01-26,"We're willing to look at any proposal which helps Scotland prosper in this new era. It's essential the SNP Government's motives for this are to make Brexit work, not to stoke up division and agitate for independence.",None,[],"[['None', '0.514'], ['Claire Baker', '0.486']]"
2020-03-02,"Boris Johnson has repeatedly claimed that negative impacts of Brexit will pale in comparison to the benefits,",Sarah Olney,['Q27942399'],"[['Sarah Olney', '0.9467'], ['None', '0.0495'], ['David Lammy', '0.0038']]"
2020-01-28,"The irresponsible UK Tory Government has created mayhem for this year's budget-setting process in North Lanarkshire. The normal set timetable is: the UK budget in early November, including the announcement of the Scottish Government's block grant of some £ 30 billion; and then the draft Scottish Government budget in early December, which announced the draft revenue grant for each local council. This gave the council 10 weeks to discuss the budget, prior to setting the budget and council tax in late February. This time, the UK budget, scheduled for November 6, was recklessly scrapped by the Tory Government in protest over MPs opposing Boris Johnson's undemocratic attempt to push through his Brexit deal in a matter of days. Now the UK budget is to be on March 11; London did not bother to inform the Scottish Finance Minister, Derek MacKay -- he learned the date from the news. The Scottish Government must now set a budget in February -- without knowing its key block grant from Westminster until the following month. This creates uncertainty about the council's final revenue grant -- a massive 80 per cent of council income (the council tax provides just 18 per cent of council income). Budgeting is a challenge. Under years of Tory austerity, the Scottish block grant has been cut by Westminster by £ 1.7 billion -- in real terms -- over the past decade. This affects the revenue grant to North Lanarkshire Council. Yet, despite this, every local authority in Scotland received a cash increase last year. This is because we have to factor in other, ring-fenced, cash injections given by the Scottish Government -- £ 16 million to the council for the pupil equity fund and the Scottish attainment challenge; and £ 34 million for nine new nursery buildings in the council for 1140 hours nursery expansion. Even more widely, the Scottish Government will contribute near - £ 100 million to the North Lanarkshire infrastructure over the 10-year Glasgow and Clyde Valley City Deal. Indeed, the council will invest in excess of £ 2 billion in improved infrastructure, facilities and services over the next 10 years. It is good to see North Lanarkshire and four other partner councils will now divert 190,000 tonnes of black bag waste from landfill each year and convert it into energy. The waste will be treated at Viridor's facility in Bargeddie and turned into fuel for burning at a plant in Dunbar and enough to produce energy for 70,000 homes. This Clyde Valley residual waste project will run for 25 years and is the first of its kind in Scotland.",Tom Johnston,['Q710641'],"[['Tom Johnston', '0.8924'], ['None', '0.1076']]"
2020-01-15,Crowdfunding for Brexit day Big Ben bongs? Whose daft idea was this?! The money would be better going to charity.,None,[],"[['None', '0.8543'], ['Big Ben', '0.1457']]"
2020-03-25,"LIIBA and its members are determined to provide as close to normal service as we can while keeping to the prime minister's request that we work from home where possible. We have much to do. With Brexit still very much a live issue and the Future@Lloyd’s pushing ahead, this is an important time for brokers to make their voices heard.",None,[],"[['None', '0.9219'], ['Nick Cook', '0.0781']]"
2020-01-08,"Typically, these are `no regrets' decisions, in that companies have made those decisions and have no plans to alter them, regardless of what happens with Brexit. I think a lot will depend on what happens in the negotiations with the EU in the UK trade deal.",Martin Shanahan,['Q42907405'],"[['Martin Shanahan', '0.6379'], ['None', '0.3621']]"
2020-02-27,"No.. Brexit is bad, and Scottish independence on top of Brexit would be even worse",Ian Murray,"['Q15499527', 'Q527729', 'Q578432', 'Q644360']","[['Ian Murray', '0.6257'], ['None', '0.3743']]"
2020-03-23,"Two weeks ago, the external electronic advert board in my local chemist was still showing `Get ready for Brexit' ads.",Sian Berry,['Q7533470'],"[['Sian Berry', '0.751'], ['Caroline Lucas', '0.1396'], ['None', '0.1042'], ['Yvette Cooper', '0.0052']]"
2020-01-13,We simply cannot afford to leave Scotland's future in Boris Johnson's hands. After years of Brexit chaos and Tory austerity at Westminster it is clear that independence is the only way forward for the people and the communities I've represented for over 10 years.,Anne McTaggart,['Q565600'],"[['Anne McTaggart', '0.9557'], ['None', '0.0417'], ['Paul Sweeney', '0.0026']]"
2020-01-05,"When Brexit happened, we immediately went straight to a discussion about free movement, single market, customs union, all of which are really important to people right across the country.",Jess Phillips,"['Q19979409', 'Q6185996']","[['Jess Phillips', '0.4195'], ['Emily Thornberry', '0.2833'], ['None', '0.1553'], ['Lisa Nandy', '0.0829'], ['Jeremy Corbyn', '0.059']]"
2020-02-06,"I think a lot of people want to move on from Brexit at this stage to talk about other things and prioritize other things,",Simon Coveney,['Q1670096'],"[['Simon Coveney', '0.7782'], ['None', '0.2092'], ['Leo Varadkar', '0.0126']]"
2020-01-01,"We'll get Brexit done before the end of this month,",Boris Johnson,['Q180589'],"[['Boris Johnson', '0.6629'], ['Prime Minister Theresa May', '0.3127'], ['None', '0.0244']]"
2020-02-09,"Boris Johnson is expected to defy influential adviser Dominic Cummings by refusing to sack Liz Truss in a Cabinet reshuffle on Thursday and scaling back plans for a `St Valentine's Day massacre' . There is also likely to be a major boost for powerful Cabinet Office boss Michael Gove, who is expected to bring responsibility for November's UN climate summit in Glasgow into his Whitehall empire. And Mr Gove wishes to use the Cabinet Office for cross-departmental No Deal Brexit planning to speed up the decision-making process. Chancellor Sajid Javid is likely to be spared the axe despite a series of power struggles with No 10 -- but insiders have threatened to sack Mr Javid's advisers and replace them with Downing Street loyalists. Ms Truss, the International Trade Secretary, is tipped to stay in the Cabinet, although perhaps not in her current role. There had been briefings -- blamed by her friends on Mr Cummings -- that she would be fired.",None,[],"[['None', '0.4395'], ['Liz Truss', '0.4092'], ['Priti Patel', '0.0627'], ['Dominic Cummings', '0.0477'], ['Boris Johnson', '0.0409']]"
2020-02-14,"Restoring sovereignty to parliament after Brexit is one of the greatest prizes that awaits us. But not just from the EU. As we start this new chapter of our democratic story, our parliament must retrieve power ceded to another place -- the courts,",Suella Braverman,['Q19957769'],"[['Suella Braverman', '0.5938'], ['None', '0.4062']]"
2020-01-30,"Against this background by us of positive engagement and leadership on the threat of Brexit during the past seven years, the idea that Ireland cannot change its government because of Brexit is cynical and desperate in equal measure.",None,[],"[['None', '0.464'], ['Jon Williams', '0.2523'], ['Micheal Martin', '0.1342'], ['Leo Varadkar', '0.1012'], ['Tony Connelly', '0.0452'], ['Phil Hogan', '0.0029'], ['Michel Barnier', '2.0E-4']]"
2020-01-15,"There were a number of positives to take from the fourth quarter. It appears that firms are looking to release the pent-up investment which has been put on hold amid the high degree of political and economic uncertainty which has plagued the UK business climate for well over 12 months now. Nevertheless, downside risks remain at large, particularly if a business cycle recovery does not fully materialise and Brexit uncertainty descends again.",Joe Hayes,"['Q16195111', 'Q19950053', 'Q29033936', 'Q6210247']","[['Joe Hayes', '0.8928'], ['None', '0.1072']]"
2020-01-10,"Everybody knows the practical implications of the Brexit deal mean that that's simply not going to be the case,",None,[],"[['None', '0.9364'], ['Boris Johnson', '0.0636']]"
2020-01-31,hard Brexit hurting British people,Ed Davey,['Q296689'],"[['Ed Davey', '0.7911'], ['Mark Drakeford', '0.1207'], ['None', '0.0882']]"
2020-01-15,"want to see how things progress with Brexit,",David Solomon,"['Q26678435', 'Q3018806', 'Q50419225', 'Q5239939']","[['David Solomon', '0.9358'], ['None', '0.0642']]"
2020-02-08,"Over the course of 2019, and the disagreements on Brexit, the levels of trust within the operation had reduced very much and there was some operational scratchiness.",James Schneider,['Q39045498'],"[['James Schneider', '0.5743'], ['Anne McElvoy', '0.2632'], ['None', '0.0871'], ['Jeremy Corbyn', '0.0556'], ['Layla Moran', '0.0198']]"
2020-01-21,"The Brexit agreement, and pledges made by Government ministers to diverge from high EU standards, put at risk our financial services, rural economy, workers' rights and the environmental standards needed to tackle climate change.",Nicola Sturgeon,['Q467112'],"[['Nicola Sturgeon', '0.7194'], ['None', '0.2806']]"
2020-01-07,"Although we have heard from business owners throughout the year that spending has tightened due to Brexit and a potential global slowdown, there is still a drive for new hires in digital. Salary hikes in key areas have put extra pressure on employers who are dealing with this uncertainty, particularly within the SME sector,",Gary Mullen,"['Q18702530', 'Q5525639']","[['Gary Mullen', '0.8458'], ['None', '0.1542']]"
2020-03-05,"Our show provides a refuge for intelligent, curious listeners who are bored of Brexit and Trump-or at least have their fill of that elsewhere.",Olly Mann,['Q7088401'],"[['Olly Mann', '0.961'], ['None', '0.039']]"
2020-02-02,Brexit makes them directly accountable for what goes right and what goes wrong on the country.,Nigel Farage,['Q318471'],"[['Nigel Farage', '0.7632'], ['None', '0.2238'], ['Boris Johnson', '0.013']]"
2020-02-20,"It was about the leadership battle, post Brexit,",Will Barton,['Q386736'],"[['Will Barton', '0.7893'], ['None', '0.152'], ['Boris Johnson', '0.03'], ['Theresa May', '0.0287']]"
2020-01-28,Leaving the EU's failed Common Fisheries Policy is one of the most important benefits of Brexit.,Theresa Villiers,['Q266793'],"[['Theresa Villiers', '0.6847'], ['None', '0.159'], ['Boris Johnson', '0.1563']]"
2020-02-14,People in the north of Ireland didn't consent to Brexit,Mary Lou McDonald,['Q467414'],"[['Mary Lou McDonald', '0.635'], ['None', '0.365']]"
2020-01-20,"They're Brexit-proofed and proofed against any reduction in corporation tax. You're not seeing that from the other parties, the minute they see a surplus they want to spend it. When you do that the surplus isn't there when you actually need it,",None,[],"[['None', '0.835'], ['Paul Bell', '0.0928'], ['Leo Varadkar', '0.0722']]"
2020-01-30,Not one single person-from the UK or elsewhere - has ever convinced me of the added value of Brexit,None,[],"[['None', '0.9606'], ['MIchel Barnier', '0.0394']]"
2020-01-28,"The risk of a hard Brexit, meaning a disorderly British exit from the EU at the end of the year, is not off the table.",Joachim Lang,"['Q126071', 'Q15433775', 'Q15821061', 'Q28260740']","[['Joachim Lang', '0.7487'], ['None', '0.2513']]"
2020-01-22,gross disrespect from Boris Johnson and his Brexit fanboys that are in Number 10 Downing Street,Ian Blackford,['Q18921442'],"[['Ian Blackford', '0.3671'], ['None', '0.3524'], ['Nicola Sturgeon', '0.2794'], ['Iain Macwhirter', '0.0011']]"
2020-02-16,"I get the feeling we are at something of a tipping point on this. Now that Brexit has happened, we'll see an acceleration of that shift.",Nicola Sturgeon,['Q467112'],"[['Nicola Sturgeon', '0.923'], ['None', '0.077']]"
2020-01-03,Our eyes were opened politically to how marginalised old people often are in society. There is a removing of agency and power which is especially interesting at a time when there is a strong political voice coming from young people and a dynamic around Brexit and climate change. It feels there's a contractural break between the generations seeping in. Rather than having something to offer each other they are at war with each other.,None,[],"[['None', '0.763'], ['Lee Carter', '0.237']]"
2020-01-13,"Reduced Brexit uncertainty was cited as a source of support for the increase in overall activity at the end of 2019, while the improvement also reflected better performance across the three main sub-sectors,",Simon Barry,"['Q16196429', 'Q21457227', 'Q56936245']","[['Simon Barry', '0.8582'], ['None', '0.1418']]"
